station_id,station_name,lat,lon,total_departures,total_arrivals,mean_departures,mean_arrivals,mean_net_flow,std_net_flow
105,"Westbourne Grove, Bayswater",51.515529,-0.19024,1370,1250,0.906084656084656,0.8267195767195767,0.07936507936507936,1.7138969861702018
106,"Woodstock Street, Mayfair",51.514105,-0.147301,975,998,0.6448412698412699,0.66005291005291,-0.01521164021164021,1.8071572778957872
107,"Finsbury Leisure Centre, St. Luke's",51.526008,-0.096317,4219,4085,2.7903439153439153,2.7017195767195767,0.08862433862433862,2.355854239611482
108,,,,2119,2638,1.4014550264550265,1.7447089947089947,-0.34325396825396826,5.0656086759401955
109,"Soho Square , Soho",51.515631,-0.132328,3989,4952,2.638227513227513,3.2751322751322753,-0.6369047619047619,6.2202919738357565
110,"Wellington Road, St. John's Wood",51.533043,-0.172528,858,723,0.5674603174603174,0.4781746031746032,0.08928571428571429,1.2281030953548935
111,"Park Lane , Hyde Park",51.510017,-0.157275,2772,2896,1.8333333333333333,1.9153439153439153,-0.082010582010582,2.4744666563742705
112,"Stonecutter Street, Holborn",51.515809,-0.10527,2319,2328,1.5337301587301588,1.5396825396825398,-0.005952380952380952,5.850381742344038
113,"Gloucester Road (Central), South Kensington",51.496462,-0.183289,945,967,0.625,0.6395502645502645,-0.01455026455026455,1.2623132500889114
114,"Park Road (Baker Street), The Regent's Park",51.524517,-0.158963,1688,1670,1.1164021164021165,1.1044973544973544,0.011904761904761904,1.7091232816805835
115,"Braham Street, Aldgate",51.514233,-0.073537,2303,2402,1.5231481481481481,1.5886243386243386,-0.06547619047619048,3.680175471417831
116,"Little Argyll Street, West End",51.514499,-0.141423,2710,3221,1.7923280423280423,2.130291005291005,-0.33796296296296297,3.069922071664463
117,"Lollard Street, Vauxhall",51.49288,-0.114934,2116,1591,1.3994708994708995,1.0522486772486772,0.3472222222222222,2.644463809057426
118,"Rochester Row, Westminster",51.495827,-0.135478,991,1155,0.6554232804232805,0.7638888888888888,-0.10846560846560846,1.5775165077964717
119,"Bath Street, St. Luke's",51.525893,-0.090847,2983,3117,1.972883597883598,2.0615079365079363,-0.08862433862433862,2.207940117460787
120,"The Guildhall, Guildhall",51.515735,-0.09308,1322,1477,0.8743386243386243,0.9768518518518519,-0.10251322751322751,2.723419820620468
121,"Baker Street, Marylebone",51.518913,-0.156166,1573,1574,1.0403439153439153,1.041005291005291,-0.0006613756613756613,2.4425902399896313
122,,,,2024,2507,1.3386243386243386,1.658068783068783,-0.3194444444444444,3.398203707891347
123,"St. John Street, Finsbury",51.52836,-0.104724,1140,914,0.753968253968254,0.6044973544973545,0.14947089947089948,1.2697726902053177
124,"Eaton Square, Belgravia",51.496544,-0.150905,892,857,0.58994708994709,0.5667989417989417,0.023148148148148147,1.1873449781609406
125,"Borough High Street, The Borough",51.500694,-0.094524,1310,1363,0.8664021164021164,0.9014550264550265,-0.03505291005291005,1.247404239494531
126,"Museum of London, Barbican",51.517821,-0.096496,3022,3047,1.9986772486772486,2.01521164021164,-0.016534391534391533,6.3868550191167035
127,"Wood Street, Guildhall",51.517008,-0.093885,1541,1570,1.0191798941798942,1.0383597883597884,-0.01917989417989418,2.7045618964384914
128,"Emperor's Gate, South Kensington",51.495362,-0.185296,1018,1036,0.6732804232804233,0.6851851851851852,-0.011904761904761904,1.2401259821267372
129,"Golden Square, Soho",51.511897,-0.137043,1799,1940,1.1898148148148149,1.283068783068783,-0.09325396825396826,2.770011861303942
130,"Tower Gardens , Tower",51.509506,-0.075459,3046,3566,2.0145502645502646,2.3584656084656084,-0.3439153439153439,3.0540210142535575
131,"Eversholt Street , Camden Town",51.533005,-0.136792,1071,872,0.7083333333333334,0.5767195767195767,0.13161375661375663,1.3468125133137276
132,"Bethnal Green Road, Shoreditch",51.523648,-0.074754,5126,5329,3.39021164021164,3.5244708994708995,-0.13425925925925927,2.9772738775829657
133,"Derry Street, Kensington",51.501364,-0.191462,3052,3368,2.0185185185185186,2.2275132275132274,-0.20899470899470898,2.403939749996512
134,"Wapping High Street, Wapping",51.504904,-0.06797,985,912,0.6514550264550265,0.6031746031746031,0.04828042328042328,1.495963138200301
135,"Clerkenwell Green, Clerkenwell",51.52326,-0.104708,3116,3323,2.060846560846561,2.197751322751323,-0.13690476190476192,2.9099274059329967
136,"Queen Victoria Street, St. Paul's",51.511961,-0.097441,2429,2875,1.6064814814814814,1.9014550264550265,-0.294973544973545,4.8053054866416405
138,"Green Street, Mayfair",51.512276,-0.157436,1695,1670,1.121031746031746,1.1044973544973544,0.016534391534391533,1.8641106275225143
139,"Lambeth Road, Vauxhall",51.494881,-0.117974,1074,957,0.7103174603174603,0.6329365079365079,0.07738095238095238,1.2518540660270046
140,"Finsbury Square , Moorgate",51.520962,-0.085634,2816,3086,1.8624338624338623,2.041005291005291,-0.17857142857142858,3.2765522502725615
141,"Chapel Place, Marylebone",51.515308,-0.147203,1817,2023,1.2017195767195767,1.337962962962963,-0.13624338624338625,3.1218295750602105
142,"West Cromwell Road, Earl's Court",51.493724,-0.198286,1166,1067,0.7711640211640212,0.7056878306878307,0.06547619047619048,1.5085281191049384
143,"Pont Street, Knightsbridge",51.496886,-0.161203,1181,1278,0.781084656084656,0.8452380952380952,-0.06415343915343916,1.9080062456630353
144,"Kennington Cross, Kennington",51.48894,-0.111435,2369,2197,1.5667989417989419,1.4530423280423281,0.11375661375661375,3.4104245008889036
145,"Ilchester Place, Kensington",51.500743,-0.202759,350,300,0.23148148148148148,0.1984126984126984,0.03306878306878307,0.752822424047409
146,"Vauxhall Bridge , Pimlico",51.488365,-0.129361,549,560,0.3630952380952381,0.37037037037037035,-0.007275132275132275,0.8735089303794565
148,"Tachbrook Street, Victoria",51.492111,-0.138364,1697,1616,1.1223544973544974,1.0687830687830688,0.05357142857142857,1.562011954601334
149,"Kennington Road Post Office, Oval",51.484788,-0.110683,1191,1019,0.7876984126984127,0.673941798941799,0.11375661375661375,1.6740385117250127
150,"Holy Trinity Brompton, Knightsbridge",51.497056,-0.168917,1282,1507,0.8478835978835979,0.9966931216931217,-0.1488095238095238,1.6647388081120074
151,"Chepstow Villas, Notting Hill",51.512136,-0.201554,1162,877,0.7685185185185185,0.580026455026455,0.1884920634920635,1.3654718633496068
152,"Hampton Street, Walworth",51.49217,-0.101536,1324,1153,0.8756613756613757,0.7625661375661376,0.1130952380952381,1.8586127193224904
153,"Bayswater Road, Hyde Park",51.511933,-0.174411,3040,3066,2.0105820105820107,2.0277777777777777,-0.017195767195767195,3.0816758346291397
154,"Waterloo Station 3, Waterloo",51.503791,-0.112824,13917,13219,9.204365079365079,8.742724867724867,0.46164021164021163,41.0251474518929
155,"Lexham Gardens, Kensington",51.495866,-0.191933,1580,1459,1.0449735449735449,0.96494708994709,0.08002645502645503,1.626492451931194
